prompt_id,condition,seed,output_text,token_count,latency_first_token,latency_total,novelty,coherence,source_distance,telemetry,error
product-001,baseline,42,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-001,baseline,123,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-001,baseline,456,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-001,baseline,789,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-001,baseline,1024,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-001,actadd_0.5,42,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-001,actadd_0.5,123,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-001,actadd_0.5,456,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-001,actadd_0.5,789,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-001,actadd_0.5,1024,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-001,actadd_1.0,42,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-001,actadd_1.0,123,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-001,actadd_1.0,456,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-001,actadd_1.0,789,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-001,actadd_1.0,1024,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-001,actadd_2.0,42,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-001,actadd_2.0,123,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-001,actadd_2.0,456,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-001,actadd_2.0,789,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-001,actadd_2.0,1024,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-001,conceptor_1.0,42,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-001,conceptor_1.0,123,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-001,conceptor_1.0,456,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-001,conceptor_1.0,789,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-001,conceptor_1.0,1024,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-002,baseline,42,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-002,baseline,123,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-002,baseline,456,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-002,baseline,789,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-002,baseline,1024,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-002,actadd_0.5,42,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-002,actadd_0.5,123,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-002,actadd_0.5,456,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-002,actadd_0.5,789,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-002,actadd_0.5,1024,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-002,actadd_1.0,42,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-002,actadd_1.0,123,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-002,actadd_1.0,456,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-002,actadd_1.0,789,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-002,actadd_1.0,1024,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-002,actadd_2.0,42,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-002,actadd_2.0,123,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-002,actadd_2.0,456,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-002,actadd_2.0,789,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-002,actadd_2.0,1024,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-002,conceptor_1.0,42,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-002,conceptor_1.0,123,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-002,conceptor_1.0,456,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-002,conceptor_1.0,789,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-002,conceptor_1.0,1024,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-003,baseline,42,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-003,baseline,123,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-003,baseline,456,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-003,baseline,789,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-003,baseline,1024,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-003,actadd_0.5,42,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-003,actadd_0.5,123,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-003,actadd_0.5,456,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-003,actadd_0.5,789,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-003,actadd_0.5,1024,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-003,actadd_1.0,42,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-003,actadd_1.0,123,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-003,actadd_1.0,456,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-003,actadd_1.0,789,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-003,actadd_1.0,1024,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-003,actadd_2.0,42,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-003,actadd_2.0,123,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-003,actadd_2.0,456,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-003,actadd_2.0,789,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-003,actadd_2.0,1024,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-003,conceptor_1.0,42,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-003,conceptor_1.0,123,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-003,conceptor_1.0,456,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-003,conceptor_1.0,789,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
product-003,conceptor_1.0,1024,[dry-run output],10,0.1,0.5,0.5,0.7,0.6,{},
